132	Caleb Fields	Fairfield	Sr.	6-2	G	35	202	113	75	592	16.9
133	Demarcus Sharp	Austin Peay	Sr.	6-3	G	29	206	1	77	490	16.9
134	Jamarii Thomas	Norfolk St.	Jr.	6-0	G	33	155	52	195	557	16.9
135	Sam Griffin	Wyoming	Sr.	6-3	G	32	179	76	106	540	16.9
136	Isaiah Stafford	Valparaiso	Jr.	6-2	G	29	176	57	80	489	16.9
137	Terrell Burden	Kennesaw St.	Sr.	5-10	G	31	175	35	137	522	16.8
138	Aanen Moody	Montana	Sr.	6-3	G	36	228	87	63	606	16.8
139	AJ Storr	Wisconsin	So.	6-6	G	36	216	48	125	605	16.8
140	Max Abmas	Texas	Sr.	6-0	G	34	194	92	90	570	16.8
141	B.J. Omot	North Dakota	So.	6-8	F	32	192	53	98	535	16.7
142	Tyson Degenhart	Boise St.	Jr.	6-8	F	32	178	30	148	534	16.7
-	Travis Evee	Rice	Sr.	6-1	G	32	184	74	92	534	16.7
-	Amar’e Marshall	UAlbany	So.	6-4	G	32	192	48	102	534	16.7
145	Desmond Claude	Xavier	So.	6-5	G	34	204	27	131	566	16.6
-	Eric Dixon	Villanova	Sr.	6-8	F	34	193	55	125	566	16.6
147	Trenton McLaughlin	Northern Ariz.	Jr.	6-6	G	33	184	74	107	549	16.6
148	Marcus Tankersley	Detroit Mercy	So.	6-4	G	32	197	19	119	532	16.6
149	Caden Pierce	Princeton	So.	6-6	F	29	178	27	99	482	16.6
150	Keyshawn Hall	George Mason	So.	6-7	G	29	163	41	114	481	16.6
